i,node_hybrid,bun_hybrid,noset,fast,naive,pt2,fast_intset
1,0.0894999999999868,0.1240829999999988,0.0654159999999706,0.0621250000000372,0.0154999999999745,0.0112920000000258,0.0102079999999205
2,0.0039579999999546,0.0030419999999935,0.004000000000019,0.0036249999999995,0.0008339999999975,0.002540999999951,0.0023749999999154
3,0.0035839999999893,0.0033339999999952,0.0039160000000038,0.0064590000000066,0.0012079999999627,0.00100000000009,0.0009589999999661
4,0.0051250000000209,0.0013749999999959,0.0049579999999878,0.0045000000000072,0.0031249999999545,0.0010829999999941,0.0008749999999508
6,0.0049590000000421,0.0018330000000048,0.0049169999999776,0.0044159999999919,0.0007499999999822,0.0009169999999585,0.0008749999999508
8,0.0049169999999776,0.0020829999999989,0.0049159999999801,0.0046250000000327,0.000708999999972,0.0011250000000018,0.00100000000009
11,0.027749999999969,0.0247080000000039,0.0291249999999649,0.0076249999999618,0.0026250000000231,0.0033750000000054,0.0027499999999918
15,0.0049159999999801,0.0145419999999916,0.0046250000000327,0.0041250000000445,0.0014579999999568,0.0017500000000154,0.0014169999999467
20,0.0044579999999996,0.0070419999999984,0.004541999999958,0.0044579999999996,0.0018340000000307,0.0017910000000256,0.001374999999939
26,0.0069160000000465,0.0068330000000003,0.0074580000000423,0.0054999999999836,0.0021670000000426,0.0025419999999485,0.0018330000000332
34,0.0041669999999953,0.0070830000000086,0.0060829999999896,0.0038339999999834,0.0030830000000037,0.002083999999968,0.0014579999999568
45,0.0055419999999912,0.0070419999999984,0.0052499999999895,0.0025420000000053,0.0034170000000131,0.0019580000000587,0.0014169999999467
59,0.0030830000000037,0.0105830000000111,0.0033329999999978,0.0030419999999935,0.0044579999999996,0.0029160000000274,0.0021669999999858
77,0.0029999999999859,0.0076250000000044,0.0034170000000131,0.0025420000000053,0.00570799999997,0.0021669999999858,0.0015829999999823
101,0.0063749999999913,0.0078749999999985,0.0054999999999836,0.0067080000000032,0.008291999999983,0.0027079999999841,0.0017500000000154
132,0.0033750000000054,0.0104999999999932,0.0039170000000012,0.0027079999999841,0.009457999999995,0.0038329999999859,0.0016250000001036
172,0.0030840000000011,0.0095839999999896,0.0037079999999605,0.0026659999999765,0.0109590000000139,0.0025000000000545,0.0014999999999645
224,0.0034160000000156,0.0095419999999961,0.0039169999999444,0.0025829999999587,0.0149170000000253,0.0026659999999765,0.0015419999999721
292,0.0034170000000131,0.0096669999999932,0.0040410000000292,0.0028330000000096,0.023916999999983,0.0027079999999841,0.0014999999999645
380,0.0032079999999723,0.0145829999999875,0.0037499999999681,0.0027919999999994,0.0219999999999913,0.0030000000000427,0.0014170000000603
494,0.0032919999999876,0.0098339999999979,0.003750000000025,0.003750000000025,0.0229999999999677,0.0027499999999918,0.0014579999999568
643,0.0033339999999952,0.0096659999999957,0.0039160000000038,0.0026249999999663,0.0264170000000376,0.0027919999999994,0.0014579999999568
836,0.0032499999999799,0.0119579999999928,0.0037909999999783,0.0022920000000112,0.0324999999999704,0.0026669999999739,0.0014999999999645
1087,0.0214579999999955,0.4528339999999957,0.0229999999999677,0.0230000000000245,0.0469170000000076,0.0121669999999767,0.0066249999999854
1414,0.0208749999999895,0.4771250000000009,0.0270830000000046,0.0168329999999627,0.0577920000000062,0.0124580000000378,0.0101250000000163
1839,0.0206660000000056,0.0204590000000024,0.0218340000000125,0.017499999999984,0.0887079999999969,0.013541000000032,0.0072910000000092
2391,0.0381669999999871,0.0127910000000071,0.0290830000000141,0.0236250000000382,0.156833000000006,0.0125419999999394,0.0070839999999634
3109,0.0198749999999563,0.0130419999999986,0.0248750000000086,0.0132499999999708,0.0660000000000309,0.0139580000000023,0.0161249999999881
4042,0.0227919999999812,0.0117919999999998,0.0277909999999792,0.01483300000001,0.0779999999999745,0.0142909999999574,0.0099580000000969
5255,0.0242499999999949,0.0159170000000017,0.0270419999999944,0.0119159999999851,0.0992090000000303,0.0149169999999685,0.0087089999999534
6832,0.0179170000000112,0.0182910000000049,0.0286250000000336,0.0079579999999737,0.1285830000000487,0.0178750000000036,0.00912500000004
8882,0.0194579999999859,0.0188330000000007,0.0312920000000076,0.0078750000000127,0.1715839999999957,0.0185000000000172,0.0100839999998925
11547,0.02475000000004,0.0491250000000036,0.0270000000000436,0.0085419999999771,0.222500000000025,0.0201250000000072,0.0102920000000494
15012,0.0197080000000369,0.0210830000000044,0.0160420000000272,0.0083750000000009,0.2706670000000031,0.0194159999999783,0.0100840000000061
19516,0.0122910000000047,0.0194589999999976,0.0157499999999686,0.0083750000000009,0.3470409999999901,0.0190420000000131,0.0102919999999357
25371,0.0120420000000081,0.0191250000000025,0.0157080000000178,0.0082920000000399,0.4091249999999604,0.0186250000000427,0.0102079999999205
32983,0.0092089999999984,0.0180410000000108,0.0156670000000076,0.0086249999999949,0.4930420000000026,0.019207999999935,0.0098329999999577
42878,0.0089169999999967,0.0206249999999954,0.0156670000000076,0.0085839999999848,0.6252079999999864,0.019292000000064,0.0110419999999749
55742,0.008874999999989,0.0175409999999942,0.022625000000005,0.0080839999999966,0.790458000000001,0.0193340000000716,0.0102079999999205
72465,0.0087919999999712,0.0192499999999995,0.0139580000000023,0.0081250000000068,0.9971249999999828,0.0194169999999758,0.0105829999999969
94205,0.0090829999999755,0.0327909999999889,0.0131660000000124,0.0095000000000027,1.3497499999999718,0.0194579999999859,0.0099159999999756
122467,0.0575000000000045,0.1161249999999967,0.0616660000000024,0.053875000000005,1.896250000000009,0.10612500000002,0.0584160000000792
159208,0.0554160000000365,0.1145829999999961,0.0665000000000191,0.0534170000000244,2.738999999999976,0.1118749999999408,0.0587919999999257
206971,0.0579160000000342,0.1159170000000102,0.0720000000000027,0.0730419999999867,11.156124999999976,0.1131659999999783,0.0612090000000762
269063,0.0603749999999649,0.1350840000000062,0.0774999999999863,0.0767910000000142,10.851458999999975,0.1230839999999489,0.0644169999999348
349782,0.0625420000000076,0.1468330000000008,0.0868329999999559,0.07162500000004,13.969666000000018,0.1264580000000705,0.0672919999999521
454717,0.0671249999999759,0.1394580000000047,0.097249999999974,0.0652499999999918,9.565207999999984,0.1330829999999423,0.0695000000000618
591133,0.0730829999999969,0.1448329999999913,0.1117090000000189,0.0737920000000258,13.054250000000025,0.14975000000004,0.0779170000000704
768473,0.0791659999999865,0.1593749999999971,0.1312920000000303,0.0758329999999887,17.937749999999937,0.1642080000000305,0.0822499999999308
999015,0.0850410000000465,0.169667000000004,0.1553749999999922,0.0821670000000267,22.69658299999992,0.1865000000000236,0.091959000000088
1298720,0.0844999999999913,0.1972919999999902,0.1554169999999999,0.0812920000000758,26.84699999999998,0.1886670000000094,0.0929589999999507
1688336,0.0848750000000109,0.176249999999996,0.1579160000000001,0.0824579999999741,32.34841700000004,0.1855419999999412,0.092542000000094
2194837,0.085374999999999,0.1751250000000084,0.1567919999999958,0.0829169999999521,39.504458,0.2096250000000736,0.0922499999999217
2853289,0.0850829999999973,0.1907080000000007,0.1562089999999898,0.0916250000000218,48.7718329999999,0.1857079999999769,0.0919169999999667
3709276,0.0857919999999694,0.176833000000002,0.1550829999999905,0.0850000000000363,60.012917000000016,0.1863329999999905,0.0922499999999217
4822059,0.0842499999999972,0.1754589999999893,0.1561249999999745,0.0849580000000287,76.06624999999997,0.1895830000000842,0.09212500000001
6268677,0.0922080000000278,0.1759160000000008,0.1641250000000127,0.1180830000000696,97.36591699999995,0.2008329999999887,0.0933340000000271
8149281,0.0860830000000305,0.1760000000000019,0.158333999999968,0.087582999999995,122.87095799999996,0.1731249999999136,0.0924170000000685
10594066,0.5657919999999876,1.203084000000004,0.6571660000000179,0.5721670000000358,162.01600000000008,1.0004999999999882,0.5525420000000167
13772286,0.5637499999999704,1.2815829999999977,0.7019579999999905,0.5657909999999902,241.031334,1.0237089999999398,0.5642910000000256
17903972,0.5777919999999881,1.4939999999999998,0.7773750000000064,0.5749579999999241,343.85825,1.066167000000064,0.6099159999999983
23275164,0.6019170000000145,0.9140419999999948,0.8708750000000123,0.6021249999998872,478.49362500000007,1.119374999999991,0.6304159999999683
30257714,0.6102919999999585,0.763582999999997,1.0179999999999725,0.6210829999999987,733.7154999999998,1.1634159999999838,0.6349589999999807
39335029,0.6530839999999785,0.7873339999999871,1.2058749999999918,0.6574999999997999,917.405208,1.224125000000072,0.6766659999999547
51135538,0.7346660000000043,0.9436659999999932,1.3934579999999528,0.818583000000217,1188.8859590000002,1.4250419999999622,0.8021249999999327
66476200,0.7735000000000127,1.0126670000000075,1.6626249999999914,0.8881670000000668,1578.2672080000002,1.5111249999999927,0.8100839999999607
86419060,0.8950839999999971,0.9182909999999964,1.9016249999999673,1.0250839999989694,2067.5772910000005,2.231583999999998,0.9743750000000092
112344778,0.9482499999999732,0.8059169999999938,2.0648330000000215,1.0558750000000146,2618.5164170000007,1.9530419999999824,1.0155409999999847
146048212,0.9484170000000064,0.7736249999999956,2.1097090000000094,1.0732499999994616,3139.771832999999,1.9387500000000273,1.0135000000000218
189862676,0.9384170000000154,0.8494999999999919,2.0860000000000127,1.036166999998386,3828.242250000001,1.9864999999999784,1.0121669999999767
246821479,0.9626250000000028,0.8412919999999957,2.0835839999999735,1.0451670000002196,4736.5165830000005,1.9396659999999883,1.000250000000051
320867923,0.9371670000000448,0.8004159999999985,2.0712500000000205,1.1045839999969758,5898.101916000003,1.9507500000000848,1.0826250000000073
417128300,0.9255420000000072,0.8226250000000022,2.06608399999999,1.0414579999996931,7409.4600839999985,1.9818750000000591,1.011082999999985
542266790,0.9347080000000004,0.8565409999999929,2.102167000000009,1.071000000003551,9398.881374999995,1.9795420000000377,1.0162090000000037
704946827,0.9238749999999528,0.808084000000008,2.0692090000000007,1.0548329999946873,11965.965625000004,1.9750829999999269,1.0108339999999316
916430876,0.9300830000000246,0.8323329999999913,2.075290999999993,1.0360420000070008,15316.616208,1.9882499999999936,1.0068750000000364
1191360139,6.4806670000000395,8.468582999999995,10.035957999999994,7.143167000001995,21722.232417000007,11.186459000000012,6.893666999999937
1548768181,6.254458,7.088875000000002,22.22241600000001,6.437000000005355,31255.435333,11.622833000000014,6.328833999999915
2013398636,14.500084000000015,7.266041999999999,38.656875000000014,6.731958000018494,43703.38808399999,12.26075000000003,6.655292000000031
2617418227,19.337750000000028,6.88670900000001,29.56945900000005,7.344167000002926,70668.556458,12.83604200000002,6.953209000000015
3402643696,8.370750000000044,7.784875,42.981583,8.981249999953434,115187.82279200002,16.555124999999975,7.727041999999983
4423436805,7.652042000000051,7.224541999999985,54.175416999999925,7.647041999967769,166551.388708,15.314542000000074,8.147458999999913
5750467847,8.197000000000003,7.658958999999982,66.79233299999999,8.31029200006742,232672.57437499997,16.828082999999992,8.871250000000032
7475608202,9.784582999999998,10.901792,78.82633299999998,9.9343340001069,318646.742083,19.935791999999992,10.325458000000026
9718290663,11.08045800000002,9.353874999999988,87.45074999999997,11.163042000029236,431284.496208,22.372165999999993,11.42025000000001
12633777862,11.297500000000014,10.506667000000022,88.69312500000001,11.366959000006318,551843.2961250001,23.019957999999978,12.407708999999954
16423911221,11.223499999999945,13.626958000000002,87.8459170000001,21.82012500008568,,25.86920799999996,13.313792000000037
21351084588,11.237040999999977,10.651790999999974,87.78104100000019,11.117041999939827,,23.011083999999983,11.823125000000005
27756409965,11.19070899999997,13.429708000000003,87.92283399999997,10.927875000052154,,22.901624999999967,11.696374999999987
36083332955,16.205583000000047,10.563542000000012,87.85254199999986,11.032875000033528,,22.92420900000002,11.564250000000015
46908332842,11.19541700000002,15.056583000000018,87.88816599999996,11.178208000026643,,22.96637499999997,11.571250000000076
60980832695,11.175749999999994,11.362292000000023,87.98108399999978,11.221917000133544,,23.196916999999985,11.532500000000027
79275082504,11.193416999999954,13.385832999999993,89.02175000000011,11.15245799999684,,30.230583000000024,11.547165999999947
103057607256,78.13512500000002,85.17570899999998,180.28320900000017,75.44479200011119,,131.74204099999997,71.266708
133974889433,88.10187500000006,103.42299999999994,662.4230419999999,83.63333299988881,,152.931875,86.12195800000006
174167356263,87.58670800000004,97.585334,1243.184291,103.0335409999825,,164.977083,89.19508399999995
226417563142,104.12700000000008,125.86312499999995,1957.1857079999995,92.31362499995156,,174.68687499999987,100.43958399999995
294342832085,105.20604100000014,115.36629199999992,2816.3067499999997,103.30895800003782,,215.703041,105.06600000000005
382645681711,114.66550000000008,137.353834,3827.830958000001,124.4043749999255,,238.61866600000008,111.03325000000018
497439386225,144.50129200000015,157.70608300000004,4947.881874999999,137.55779200000688,,278.5647079999999,134.84175000000005
646671202093,191.33004200000005,165.13300000000004,6088.445458999999,217.86191600002348,,390.6467499999999,161.75958300000002
840672562721,223.323625,255.546959,6959.897707999997,224.08370900014415,,486.072541,204.01175000000012
1092874331538,264.3437919999999,275.2821250000002,7187.042332999998,299.4579590000212,,623.9803340000003,282.9509579999997
1420736631000,283.63737500000025,255.76212499999997,7213.266750000003,261.7229590001516,,570.9063749999996,264.1147500000002
1846957620300,284.61645799999997,262.1321250000001,7230.453708000001,287.1304170000367,,616.243125,261.6267499999999
2401044906390,291.4253329999997,287.4612910000001,7210.899833000003,270.4670410002582,,600.5010830000001,273.043541
3121358378307,249.0924170000003,287.2616250000001,7204.590666999997,272.39204200031236,,593.1042499999994,294.0993330000001
4057765891800,286.6035829999996,256.24604199999976,7223.616500000004,304.8637500000186,,593.8472499999998,249.53470800000017
5275095659340,267.4678750000003,271.95670800000016,7159.151166999989,279.0992499999702,,655.9523749999998,256.7712499999998
6857624357142,277.20104200000014,277.465459,7224.283540999997,252.5954999998212,,584.8696659999996,262.08858299999974
8914911664285,263.02658299999985,265.312625,7196.5608340000035,274.23495800001547,,582.8699580000011,253.74358299999992
11589385163571,1251.4018750000005,1169.4590829999995,32101.694749999995,1237.0610419996085,,2088.712166000001,1186.0895
15066200712643,1361.206416,1266.300792,84447.90887500001,1347.4263749998065,,2294.7233750000014,1324.2956670000003
19586060926436,1575.1609170000002,1408.4411250000005,156647.59695900002,1544.3509999997914,,2649.3625420000008,1475.0307920000005
25461879204367,1761.6984159999993,1536.041041999999,247185.25366600003,1787.352042000275,,3160.165709000001,1801.4328749999986
33100442965678,2081.671792000001,1837.634333,331929.194333,2125.27820800012,,3874.832167000001,2156.247792
43030575855382,2672.226208,2084.335459,440705.8469999999,2757.4710829998367,,5196.137875,2554.329416999999
55939748611997,3264.319374999999,2484.311958,,3236.9310000003316,,6084.3400839999995,3219.740166999998
72721673195597,3988.0880829999983,3220.9229159999995,,4106.309541999828,,7577.976417000005,4178.168415999997
94538175154277,5551.679708,4143.663208000002,,5563.617000000086,,10664.597125,5315.9908749999995
122899627700561,5573.776542,4115.688457999997,,5698.400415999815,,10509.032167000005,5578.3451250000035
159769516010730,6044.919499999996,4572.134084000001,,5820.9862500000745,,10902.619,5316.712375000003
207700370813949,5650.785875000001,4726.875625000004,,5882.5879589999095,,10574.15225,5314.4647500000065
270010482058134,5746.663334000004,4565.405792000005,,5701.670750000048,,10711.302165999994,5218.526874999996
351013626675575,5914.085583,4457.015083999999,,5952.44391599996,,10435.631582999997,5276.4306670000005
456317714678248,5588.338374999999,4808.034,,5574.608041000087,,11075.78245900001,5180.604332999996
593213029081723,5773.661207999998,5177.475874999996,,5675.683041000273,,10442.999832999994,5241.5585830000055
771176937806240,5623.5815830000065,4798.5848750000005,,5792.475166999735,,10787.438292000006,5231.153291000002
1002530019148112,16557.700457999992,82986.698917,,16534.131709000096,,27818.161500000017,15911.554583000005
1303289024892546,18116.186333000005,129923.20137500003,,18113.74870799994,,30691.36712499999,17057.754417000004
1694275732360310,21262.873083000013,217539.716334,,,,37064.05841700002,20402.889083999995
2202558452068403,24216.216291999997,377440.8485,,,,42902.26491699999,23185.839082999984
2863325987688924,28900.125833,530517.8439170001,,,,50644.60933299997,27662.06849999999
3722323783995602,35748.4265,614781.151792,,,,64554.14204200002,33659.502959000005
4839020919194283,43326.991125,,,,,80040.30754099996,40703.70525
6290727194952568,59374.584875,,,,,102954.63054099992,52799.385708999995
8177945353438339,79814.87058400002,,,,,131862.20354100002,68186.71212500002
9007199254740990,74994.043542,,,,,,
9007199254740991,,,,,,167514.48962499993,
