i,progress,numcount,numcount_2,bftime,mytime
1,0,0,0,,0.010207999999920503
2,0,0,0,,0.002374999999915417
3,0,0,0,,0.0009589999999661813
4,0,0,0,,0.0008749999999508873
6,0,0,0,,0.0008749999999508873
8,0,0,0,,0.00100000000009004
11,0,1,0,,0.0027499999999918145
15,0,1,0,,0.0014169999999467109
20,0,1,0,,0.0013749999999390639
26,0,2,0,,0.0018330000000332802
34,0,3,0,,0.0014579999999568827
45,0,4,0,,0.0014169999999467109
59,0,5,0,,0.002166999999985819
77,0,7,0,,0.0015829999999823485
101,0,9,0,,0.0017500000000154614
132,0,9,0,,0.0016250000001036824
172,0,9,0,,0.0014999999999645297
224,0,9,0,,0.0015419999999721767
292,0,9,0,,0.0014999999999645297
380,0,9,0,,0.0014170000000603977
494,0,9,0,,0.0014579999999568827
643,0,9,0,,0.0014579999999568827
836,0,9,0,,0.0014999999999645297
1087,0,10,0,,0.006624999999985448
1414,0,14,0,,0.010125000000016371
1839,0,18,0,,0.007291000000009262
2391,0,23,0,,0.007083999999963453
3109,0,30,0,,0.016124999999988177
4042,0,40,0,,0.009958000000096945
5255,0,52,0,,0.008708999999953448
6832,0,67,0,,0.009125000000040018
8882,0,87,0,,0.010083999999892512
11547,0,99,0,,0.010292000000049484
15012,0,99,0,,0.010084000000006199
19516,0,99,0,,0.010291999999935797
25371,0,99,0,,0.010207999999920503
32983,0,99,0,,0.009832999999957792
42878,0,99,0,,0.011041999999974905
55742,0,99,0,,0.010207999999920503
72465,0,99,0,,0.0105829999999969
94205,0,99,0,,0.009915999999975611
122467,0,122,0,,0.05841600000007929
159208,0,159,0,,0.05879199999992579
206971,0,206,0,,0.06120900000007623
269063,0,268,0,,0.06441699999993489
349782,0,349,0,,0.06729199999995217
454717,0,454,0,,0.06950000000006185
591133,0,590,0,,0.0779170000000704
768473,0,767,0,,0.08224999999993088
999015,0,998,0,,0.09195900000008805
1298720,0,999,0,,0.09295899999995072
1688336,0,999,0,,0.09254200000009405
2194837,0,999,0,,0.09224999999992178
2853289,0,999,0,,0.09191699999996672
3709276,0,999,0,,0.09224999999992178
4822059,0,999,0,,0.09212500000001
6268677,0,999,0,,0.09333400000002712
8149281,0,999,0,,0.09241700000006858
10594066,0,1059,0,,0.5525420000000167
13772286,0,1377,0,,0.5642910000000256
17903972,0,1790,0,,0.6099159999999983
23275164,0,2327,0,,0.6304159999999683
30257714,0,3025,0,,0.6349589999999807
39335029,0,3933,0,,0.6766659999999547
51135538,0,5113,0,,0.8021249999999327
66476200,0,6646,0,,0.8100839999999607
86419060,0,8641,0,,0.9743750000000091
112344778,0,9999,0,,1.0155409999999847
146048212,0,9999,0,,1.0135000000000218
189862676,0,9999,0,,1.0121669999999767
246821479,0,9999,0,,1.000250000000051
320867923,0,9999,0,,1.0826250000000073
417128300,0,9999,0,,1.011082999999985
542266790,0,9999,0,,1.0162090000000035
704946827,0,9999,0,,1.0108339999999316
916430876,0,9999,0,,1.0068750000000364
1191360139,0,11913,0,,6.893666999999937
1548768181,0,15487,0,,6.328833999999915
2013398636,0,20133,0,,6.655292000000031
2617418227,0,26173,0,,6.953209000000015
3402643696,0,34026,0,,7.727041999999983
4423436805,0,44233,0,,8.147458999999913
5750467847,0,57504,0,,8.871250000000032
7475608202,0,74755,0,,10.325458000000026
9718290663,0,97181,0,,11.42025000000001
12633777862,0,99999,0,,12.407708999999954
16423911221,0,99999,0,,13.313792000000035
21351084588,0,99999,0,,11.823125000000005
27756409965,0,99999,0,,11.696374999999989
36083332955,0,99999,0,,11.564250000000015
46908332842,0,99999,0,,11.571250000000077
60980832695,0,99999,0,,11.532500000000027
79275082504,0,99999,0,,11.547165999999947
103057607256,0,103057,0,,71.266708
133974889433,0,133974,0,,86.12195800000006
174167356263,0,174167,0,,89.19508399999995
226417563142,0,226417,0,,100.43958399999997
294342832085,0,294342,0,,105.06600000000003
382645681711,0,382645,0,,111.03325000000018
497439386225,0.01,497438,0,,134.84175000000005
646671202093,0.01,646670,0,,161.75958300000002
840672562721,0.01,840671,0,,204.01175000000012
1092874331538,0.01,999999,0,,282.9509579999997
1420736631000,0.02,999999,0,,264.1147500000002
1846957620300,0.02,999999,0,,261.6267499999999
2401044906390,0.03,999999,0,,273.043541
3121358378307,0.03,999999,0,,294.0993330000001
4057765891800,0.05,999999,0,,249.53470800000014
5275095659340,0.06,999999,0,,256.7712499999998
6857624357142,0.08,999999,0,,262.08858299999974
8914911664285,0.1,999999,0,,253.74358299999994
11589385163571,0.13,1158938,0,,1186.0895
15066200712643,0.17,1506619,0,,1324.2956670000003
19586060926436,0.22,1958605,0,,1475.0307920000005
25461879204367,0.28,2546187,0,,1801.4328749999986
33100442965678,0.37,3310043,0,,2156.247792
43030575855382,0.48,4303057,0,,2554.329416999999
55939748611997,0.62,5593974,0,,3219.740166999998
72721673195597,0.81,7272166,0,,4178.168415999997
94538175154277,1.05,9453816,0,,5315.9908749999995
122899627700561,1.36,9999999,0,,5578.3451250000035
159769516010730,1.77,9999999,0,,5316.712375000003
207700370813949,2.31,9999999,0,,5314.4647500000065
270010482058134,3,9999999,0,,5218.526874999996
351013626675575,3.9,9999999,0,,5276.4306670000005
456317714678248,5.07,9999999,0,,5180.604332999996
593213029081723,6.59,9999999,0,,5241.5585830000055
771176937806240,8.56,9999999,0,,5231.153291000002
1002530019148112,11.13,10025300,0,,15911.554583000005
1303289024892546,14.47,13032890,0,,17057.754417000004
1694275732360310,18.81,16942756,0,,20402.889083999995
2202558452068403,24.45,22025583,0,,23185.839082999984
2863325987688924,31.79,28633258,0,,27662.068499999994
3722323783995602,41.33,37223235,0,,33659.502959000005
4839020919194283,53.72,48390206,0,,40703.70525
6290727194952568,69.84,62907268,0,,52799.385708999995
8177945353438339,90.79,81779448,0,,68186.71212500002
